CustomerID,Title,FirstName,MiddleName,LastName,Suffix,AddressLine1,AddressLine2,City,StateProvinceName,CountryRegionName,PostalCode,PhoneNumber,BirthDate,Education,Occupation,Gender,MaritalStatus,HomeOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,YearlyIncome,BikeBuyer
11000,,Jon,V,Yang,,3761 N. 14th St,,Rockhampton,Queensland,Australia,4700,1 (11) 500 555-0162,1966-04-08,Bachelors ,Professional,M,M,1,0,0,2,137947,0
11001,,Eugene,L,Huang,,2243 W St.,,Seaford,Victoria,Australia,3198,1 (11) 500 555-0110,1965-05-14,Bachelors ,Professional,M,S,0,1,3,3,101141,1
11002,,Ruben,,Torres,,5844 Linden Land,,Hobart,Tasmania,Australia,7001,1 (11) 500 555-0184,1965-08-12,Bachelors ,Professional,M,M,1,1,3,3,91945,0
11003,,Christy,,Zhu,,1825 Village Pl.,,North Ryde,New South Wales,Australia,2113,1 (11) 500 555-0162,1968-02-15,Bachelors ,Professional,F,S,0,1,0,0,86688,0
11004,,Elizabeth,,Johnson,,7553 Harness Circle,,Wollongong,New South Wales,Australia,2500,1 (11) 500 555-0131,1968-08-08,Bachelors ,Professional,F,S,1,4,5,5,92771,1
11005,,Julio,,Ruiz,,7305 Humphrey Drive,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0151,1965-08-05,Bachelors ,Professional,M,S,1,1,0,0,103199,1
11006,,Janet,G,Alvarez,,2612 Berry Dr,,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0184,1965-12-06,Bachelors ,Professional,F,S,1,1,0,0,84756,1
11007,,Marco,,Mehta,,942 Brook Street,,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0126,1964-05-09,Bachelors ,Professional,M,M,1,2,3,3,109759,1
11008,,Rob,,Verhoff,,624 Peabody Road,,Bendigo,Victoria,Australia,3550,1 (11) 500 555-0164,1964-07-07,Bachelors ,Professional,F,S,1,3,4,4,88005,1
11009,,Shannon,C,Carlson,,3839 Northgate Road,,Hervey Bay,Queensland,Australia,4655,1 (11) 500 555-0110,1964-04-01,Bachelors ,Professional,M,S,0,1,0,0,106399,0
11010,,Jacquelyn,C,Suarez,,7800 Corrinne Court,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0169,1964-02-06,Bachelors ,Professional,F,S,0,1,0,0,81294,0
11011,,Curtis,,Lu,,1224 Shoenic,,East Brisbane,Queensland,Australia,4169,1 (11) 500 555-0117,1963-11-04,Bachelors ,Professional,M,M,1,4,4,4,94029,1
11012,,Lauren,M,Walker,,4785 Scott Street,,Bremerton,Washington,United States,98312,717-555-0164,1968-01-18,Bachelors ,Management,F,M,1,2,0,2,99245,1
11013,,Ian,M,Jenkins,,7902 Hudson Ave.,,Lebanon,Oregon,United States,97355,817-555-0185,1968-08-06,Bachelors ,Management,M,M,1,3,0,2,115859,0
11014,,Sydney,,Bennett,,9011 Tank Drive,,Redmond,Washington,United States,98052,431-555-0156,1968-05-09,Bachelors ,Management,F,S,0,3,0,3,105157,0
11015,,Chloe,,Young,,244 Willow Pass Road,,Burbank,California,United States,91502,208-555-0142,1979-02-27,Partial College,Skilled Manual,F,S,0,1,0,0,40011,0
11016,,Wyatt,L,Hill,,9666 Northridge Ct.,,Imperial Beach,California,United States,91932,135-555-0171,1979-04-28,Partial College,Skilled Manual,M,M,1,1,0,0,46808,0
11019,,Luke,L,Lal,,7832 Landing Dr,,Langley,British Columbia,Canada,V3A 4R2,262-555-0112,1978-03-07,High School,Skilled Manual,M,S,0,2,0,0,49455,1
11020,,Jordan,C,King,,7156 Rose Dr.,,Metchosin,British Columbia,Canada,V9,550-555-0163,1978-09-20,High School,Skilled Manual,M,S,0,2,0,0,43857,0
11023,,Seth,M,Edwards,,4499 Valley Crest,,Bellflower,California,United States,90706,452-555-0188,1978-10-11,Partial College,Skilled Manual,M,M,1,1,0,0,50046,0
11024,,Russell,,Xie,,8734 Oxford Place,,Concord,California,United States,94519,746-555-0186,1978-09-17,Partial College,Skilled Manual,M,M,1,2,0,0,91276,0
11025,,Alejandro,,Beck,,2596 Franklin Canyon Road,,Hawthorne,Queensland,Australia,4171,1 (11) 500 555-0178,1945-12-23,Partial High School,Clerical,M,M,1,2,1,2,24334,0
11026,,Harold,,Sai,,8211 Leeds Ct.,,Goulburn,New South Wales,Australia,2580,1 (11) 500 555-0131,1946-04-03,Partial College,Clerical,M,S,0,2,0,2,61905,0
11027,,Jessie,R,Zhao,,213 Valencia Place,,Warrnambool,Victoria,Australia,3280,1 (11) 500 555-0184,1946-12-07,Partial College,Clerical,M,M,1,2,0,2,49349,0
11028,,Jill,,Jimenez,,9111 Rose Ann Ave,,St. Leonards,New South Wales,Australia,2065,1 (11) 500 555-0116,1946-04-11,Partial College,Clerical,F,M,1,2,0,2,44068,0
11031,,Theresa,G,Ramos,,6465 Detroit Ave.,,Matraville,New South Wales,Australia,2036,1 (11) 500 555-0195,1947-08-22,High School,Skilled Manual,F,M,1,2,0,4,18843,0
11032,,Denise,,Stone,,626 Bentley Street,,Melbourne,Victoria,Australia,3000,1 (11) 500 555-0169,1947-06-11,High School,Skilled Manual,F,M,1,2,0,4,15861,0
11033,,Jaime,,Nath,,5927 Rainbow Dr,,Milsons Point,New South Wales,Australia,2061,1 (11) 500 555-0137,1947-09-23,High School,Skilled Manual,M,M,1,2,0,4,35822,0
11034,,Ebony,,Gonzalez,,5167 Condor Place,,North Sydney,New South Wales,Australia,2055,1 (11) 500 555-0136,1947-06-19,High School,Skilled Manual,F,M,1,2,0,4,29017,0
11035,,Wendy,,Dominguez,,1873 Mt. Whitney Dr,,Cranbourne,Victoria,Australia,3977,1 (11) 500 555-0177,1948-02-24,Partial High School,Clerical,F,M,1,2,1,2,11721,0
11036,,Jennifer,C,Russell,,3981 Augustine Drive,,National City,California,United States,91950,115-555-0183,1978-12-18,Partial College,Skilled Manual,F,M,1,2,0,0,84890,0
11037,,Chloe,M,Garcia,,8915 Woodside Way,,Cliffside,British Columbia,Canada,V8Y 1L1,229-555-0112,1977-11-27,Partial High School,Clerical,F,S,0,2,0,0,48651,0
15127,,Wesley,K,Yang,,74 Jamie Way,,Lane Cove,New South Wales,Australia,1597,1 (11) 500 555-0188,1975-02-14,Bachelors ,Professional,M,S,0,2,0,0,129497,1
11040,,Jesse,,Murphy,,3350 Kingswood Circle,,Tacoma,Washington,United States,98403,961-555-0176,1977-08-01,Partial College,Skilled Manual,M,M,1,2,0,0,56248,0
