Date,Event,Event Description,Meeting code,Participant Identifier,Participant outside organization,Client type,Organizer email,Product type,Duration,Call rating out of 5,Actor name,IP address,City,Country,Network Round Trip Time Mean In ms,Transport Protocol,Estimated Upload Bandwidth in kbps,Estimated Download Bandwidth in kbps,Audio Receive Packet Loss Max,Audio Receive Packet Loss Mean,Audio Receive Duration,Audio Send Bitrate Mean in kbps,Audio Send Packet Loss Max,Audio Send Packet Loss Mean,Audio Send Duration,Calendar event ID,Conference ID,Network Recv Jitter Mean in ms,Network Recv Jitter Max in ms,Network Send Jitter Mean in ms,Screencast Receive Bitrate Mean in kbps,Screencast Receive FPS Mean,Screencast Receive Long Side Median,Screencast Receive Packet Loss Max,Screencast Receive Packet Loss Mean,Screencast Receive Duration,Screencast Receive Short Side Median,Screencast Send Bitrate Mean in kbps,Screencast Send FPS Mean,Screencast Send Long Side Median,Screencast Send Packet Loss Max,Screencast Send Packet Loss Mean,Screencast Send Duration,Screencast Send Short Side Median,Video Receive FPS Mean,Video Receive Long Side Median,Video Receive Packet Loss Max,Video Receive Packet Loss Mean,Video Receive Duration,Video Receive Short Side Median,Network Congestion Ratio,Video Send Bitrate Mean in kbps,Video Send FPS Mean,Video Send Long Side Median,Video Send Packet Loss Max,Video Send Packet Loss Mean,Video Send Duration,Video Send Short Side Median
"Dec 16, 2021, 9:00:18 AM PST",Endpoint left,The endpoint left a video meeting,ISPJGACVWV,eakeley542@mycompany.co,No,Web,boddie319@mycompany.co,Google Meet,1693,,Donnell Eakeley,84.155.45.80,Beaumont,Canada,14.0,UDP,1582.0,1552.0,1.0,0.0,1697,24.0,4.0,1.0,1697,1710p2odi5bbkukveh93n9rgoq_20211216T163000Z,8t_21BF_mJaZn95nzHXKYKIQ,1.0,29.0,1.0,,,,,,0,,,,,,,0,,24.0,1280.0,1.0,0.0,1696,720.0,0,1530.0,24.0,1280.0,2.0,1.0,1697,720.0
"Dec 16, 2021, 9:00:15 AM PST",Endpoint left,The endpoint left a video meeting,ISPJGACVWV,boddie319@mycompany.co,No,Web,boddie319@mycompany.co,Google Meet,1877,,Glenna Boddie,225.170.208.155,Kansas City,United States,7.0,UDP,1543.0,1428.0,3.0,0.0,1693,21.0,0.0,0.0,1886,1710p2odi5bbkukveh93n9rgoq_20211216T163000Z,8t_21BF_mJaZn95nzHXKYKIQ,1.0,32.0,0.0,,,,,,0,,,,,,,0,,24.0,1280.0,0.0,0.0,1693,720.0,0,1505.0,24.0,1280.0,0.0,0.0,1886,720.0
"Dec 16, 2021, 8:59:14 AM PST",Endpoint left,The endpoint left a video meeting,AKQUVIWAVE,kennermann871@mycompany.co,No,Web,skule189@mycompany.co,Google Meet,695,,Royce Kennermann,144.95.204.52,Toledo,United States,37.0,UDP,1504.0,1539.0,0.0,0.0,697,21.0,0.0,0.0,697,4833n0pik471so4190hkufk3rk_20211216T163000Z,8mgwxEus3fipIr8IL05AYKIA,2.0,25.0,2.0,,,,,,0,,,,,,,0,,24.0,1280.0,0.0,0.0,687,720.0,3,1502.0,23.0,1280.0,0.0,0.0,695,720.0
"Dec 16, 2021, 8:59:13 AM PST",Endpoint left,The endpoint left a video meeting,AKQUVIWAVE,skule189@mycompany.co,No,Web,skule189@mycompany.co,Google Meet,1706,,Walther Skule,30.69.253.131,Knoxville,United States,36.0,UDP,746.0,649.0,1.0,0.0,698,13.0,0.0,0.0,1705,4833n0pik471so4190hkufk3rk_20211216T163000Z,8mgwxEus3fipIr8IL05AYKIA,3.0,25.0,1.0,,,,,,0,,,,,,,0,,24.0,1280.0,0.0,0.0,698,720.0,1,709.0,24.0,320.0,0.0,0.0,1705,180.0
"Dec 16, 2021, 8:57:13 AM PST",Endpoint left,The endpoint left a video meeting,MENCJPTZWH,eubank797@mycompany.co,No,Web,eubank797@mycompany.co,Google Meet,1019,,Anne-marie Eubank,40.81.29.209,Melville,Canada,18.0,UDP,19.0,61.0,1.0,0.0,843,15.0,0.0,0.0,1022,3f8p75e94m5beiihkioa499d5q_20211216T164000Z,Qdr22M2bqsbOmYtTdiMcYKIQ,3.0,22.0,1.0,,,,,,0,,,,,,,0,,20.0,640.0,0.0,0.0,76,360.0,0,,,,,,0,
"Dec 16, 2021, 8:57:05 AM PST",Endpoint left,The endpoint left a video meeting,MENCJPTZWH,spleving989@mycompany.co,No,Web,eubank797@mycompany.co,Google Meet,833,,Torrin Spleving,217.59.34.217,Havre-Saint-Pierre,Canada,33.0,UDP,72.0,23.0,0.0,0.0,835,15.0,1.0,0.0,835,3f8p75e94m5beiihkioa499d5q_20211216T164000Z,Qdr22M2bqsbOmYtTdiMcYKIQ,4.0,35.0,3.0,,,,,,0,,,,,,,0,,,,,,0,,17,676.0,19.0,640.0,0.0,0.0,58,360.0
"Dec 16, 2021, 8:47:19 AM PST",Endpoint left,The endpoint left a video meeting,EVNQCEBPXZ,kennermann871@mycompany.co,No,Web,kennermann871@mycompany.co,Google Meet,2782,,Royce Kennermann,144.95.204.52,Toledo,United States,37.0,UDP,397.0,455.0,5.0,0.0,2471,23.0,0.0,0.0,2550,j5g36c2sl6d3hob0bdicms7so8,9jOanpK2fdw_nUbVjhPdYKIQ,3.0,48.0,2.0,,,,,,0,,102.0,5.0,1120.0,0.0,0.0,195,1044.0,17.0,640.0,0.0,0.0,2471,360.0,0,359.0,24.0,640.0,1.0,0.0,2547,360.0
"Dec 16, 2021, 8:47:19 AM PST",Endpoint left,The endpoint left a video meeting,EVNQCEBPXZ,bdambrosiep@fema.gov,Yes,Web,kennermann871@mycompany.co,Google Meet,2703,,Brion D'Ambrosi,140.132.94.62,Nashville,United States,21.0,UDP,471.0,408.0,1.0,0.0,2706,20.0,2.0,0.0,2706,j5g36c2sl6d3hob0bdicms7so8,9jOanpK2fdw_nUbVjhPdYKIQ,3.0,38.0,3.0,30.0,5.0,1120.0,0.0,0.0,406,1044.0,,,,,,0,,24.0,640.0,3.0,0.0,2706,360.0,0,442.0,17.0,640.0,0.0,0.0,2706,360.0
"Dec 16, 2021, 8:12:18 AM PST",Endpoint left,The endpoint left a video meeting,HITWMIWWBF,skule189@mycompany.co,No,iOS,lowing81@mycompany.co,Google Meet,738,,Walther Skule,30.69.253.131,Knoxville,United States,70.0,UDP,34.0,31.0,0.0,0.0,552,32.0,42.0,1.0,552,6cnepfjk0ohjm5cul6lrmr65q3,C6EWHkokBb-MFGGzCabDYKIQ,6.0,36.0,,,,,,,0,,,,,,,0,,,,,,0,,0,,,,,,0,
"Dec 16, 2021, 8:12:15 AM PST",Endpoint left,The endpoint left a video meeting,HITWMIWWBF,lowing81@mycompany.co,No,Web,lowing81@mycompany.co,Google Meet,806,,Skyler Lowing,210.124.6.235,Sechelt,Canada,32.0,UDP,181.0,38.0,22.0,0.0,742,20.0,0.0,0.0,806,6cnepfjk0ohjm5cul6lrmr65q3,C6EWHkokBb-MFGGzCabDYKIQ,11.0,106.0,5.0,,,,,,0,,,,,,,0,,,,,,0,,0,147.0,23.0,320.0,1.0,0.0,806,180.0
